,Date,Location,Site,PitID,latitude,longitude
118,2020-02-19,Senator Beck,Swamp Angel,COSBSA,37.90712,-107.71121
119,2020-02-26,Senator Beck,Swamp Angel,COSBSA,37.90711,-107.71123
120,2020-03-04,Senator Beck,Swamp Angel,COSBSA,37.90711,-107.71123
121,2020-03-11,Senator Beck,Swamp Angel,COSBSA,37.9071,-107.71118
122,2020-02-05,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
123,2020-02-19,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
124,2020-02-12,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
125,2020-02-26,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
126,2020-03-04,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
127,2019-12-18,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
128,2020-01-29,Niwot Ridge,Saddle,CONWSA,40.05497,-105.59065
129,2019-12-18,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
130,2020-02-19,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
131,2020-02-26,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
132,2020-01-22,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
133,2020-02-05,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
134,2020-01-29,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
135,2020-02-12,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
136,2020-03-11,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
137,2020-03-04,Niwot Ridge,C1,CONWC1,40.03317,-105.54616
138,2020-01-24,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
139,2020-01-31,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
140,2020-02-13,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
141,2020-02-20,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
142,2020-02-27,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
143,2020-03-05,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
144,2020-03-12,Little Cottonwood,Alta Collins,UTLCAC,40.5721,-111.62997
145,2020-01-24,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
146,2020-01-31,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
147,2020-02-13,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
148,2020-02-20,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
149,2020-02-27,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
150,2020-03-05,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
151,2020-03-12,Little Cottonwood,Atwater,UTLCAW,40.59125,-111.63759
152,2020-01-29,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
153,2020-03-04,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
154,2020-02-12,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
155,2020-02-19,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
156,2020-02-26,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
157,2020-03-11,Sagehen,Tower 4,CASHT4,39.42216,-120.29898
158,2020-01-29,Sagehen,Open,CASHOP,39.43036,-120.23982
159,2020-03-11,Sagehen,Open,CASHOP,39.43036,-120.23982
160,2020-03-04,Sagehen,Open,CASHOP,39.43036,-120.23982
161,2020-02-12,Sagehen,Open,CASHOP,39.43036,-120.23982
162,2020-02-19,Sagehen,Open,CASHOP,39.43036,-120.23981
163,2020-02-26,Sagehen,Open,CASHOP,39.43036,-120.23982
164,2019-12-20,Sagehen,Open,CASHOP,39.43041,-120.23981
165,2020-01-29,Sagehen,Forest,CASHFO,39.42957,-120.24203
166,2020-02-12,Sagehen,Forest,CASHFO,39.42954,-120.24212
167,2020-02-19,Sagehen,Forest,CASHFO,39.42954,-120.24212
168,2020-02-26,Sagehen,Forest,CASHFO,39.42954,-120.24212
