,Date,Location,Site,PitID,UTME,UTMN,UTMzone
129,3/12/20,Grand Mesa,County Line Open,COGMCO,756905,4324353,12
130,3/18/20,Grand Mesa,County Line Open,COGMCO,756929,4324348,12
131,3/25/20,Grand Mesa,County Line Open,COGMCO,756903,4324352,12
132,12/19/19,Grand Mesa,County Line Tree,COGMCT,756697,4324532,12
133,1/22/20,Grand Mesa,County Line Tree,COGMCT,756710,4324540,12
134,1/31/20,Grand Mesa,County Line Tree,COGMCT,756714,4324540,12
135,2/12/20,Grand Mesa,County Line Tree,COGMCT,756713,4324539,12
136,2/19/20,Grand Mesa,County Line Tree,COGMCT,756716,4324538,12
137,2/26/20,Grand Mesa,County Line Tree,COGMCT,756715,4324539,12
138,3/4/20,Grand Mesa,County Line Tree,COGMCT,756710,4324540,12
139,3/12/20,Grand Mesa,County Line Tree,COGMCT,756704,4324542,12
140,3/18/20,Grand Mesa,County Line Tree,COGMCT,756687,4324541,12
141,3/25/20,Grand Mesa,County Line Tree,COGMCT,756687,4324536,12
142,12/19/19,Grand Mesa,Skyway Open,COGMSO,754271,4325788,12
143,1/22/20,Grand Mesa,Skyway Open,COGMSO,754270,4325787,12
144,1/31/20,Grand Mesa,Skyway Open,COGMSO,754268,4325777,12
145,2/12/20,Grand Mesa,Skyway Open,COGMSO,754270,4325785,12
146,2/19/20,Grand Mesa,Skyway Open,COGMSO,754267,4325787,12
147,2/25/20,Grand Mesa,Skyway Open,COGMSO,754276,4325787,12
148,3/4/20,Grand Mesa,Skyway Open,COGMSO,754267,4325787,12
149,3/12/20,Grand Mesa,Skyway Open,COGMSO,754269,4325786,12
150,3/21/20,Grand Mesa,Skyway Open,COGMSO,754267,4325870,12
151,3/28/20,Grand Mesa,Skyway Open,COGMSO,754272,4325781,12
152,1/22/20,Grand Mesa,Skyway Tree,COGMST,754168,4325871,12
153,1/31/20,Grand Mesa,Skyway Tree,COGMST,754172,4325867,12
154,2/12/20,Grand Mesa,Skyway Tree,COGMST,754175,4325867,12
155,2/19/20,Grand Mesa,Skyway Tree,COGMST,754170,4325869,12
156,2/25/20,Grand Mesa,Skyway Tree,COGMST,754170,4325869,12
157,3/12/20,Grand Mesa,Skyway Tree,COGMST,754173,4325871,12
158,3/21/20,Grand Mesa,Skyway Tree,COGMST,754143,4325868,12
159,3/28/20,Grand Mesa,Skyway Tree,COGMST,754146,4325861,12
160,12/20/19,Jemez River,BA Flux Tower,NMJRBA,361743,3972674,13
161,1/22/20,Jemez River,BA Flux Tower,NMJRBA,361743,3972675,13
