,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
75,75,12/16/19,Fraser,JPL #1,COFEJ1,39.90559291988028,-105.88280291569535,424540,4417652,13
76,76,12/19/19,Fraser,JPL #1,COFEJ1,39.90554778643356,-105.88281403515893,424539,4417647,13
77,77,12/23/19,Fraser,JPL #1,COFEJ1,39.905556528137396,-105.88284924370501,424536,4417648,13
78,78,12/30/19,Fraser,JPL #1,COFEJ1,39.90555679531175,-105.88281415079472,424539,4417648,13
79,79,10/4/20,Fraser,JPL #1,COFEJ1,39.905637518979034,-105.88286198212118,424535,4417657,13
80,80,1/19/20,Fraser,JPL #1,COFEJ1,39.90557463495294,-105.88283777734614,424537,4417650,13
81,81,1/24/20,Fraser,JPL #1,COFEJ1,39.905556617196694,-105.8828375460683,424537,4417648,13
82,82,1/31/20,Fraser,JPL #1,COFEJ1,39.90559265270913,-105.88283800862419,424537,4417652,13
83,83,2/5/20,Fraser,JPL #1,COFEJ1,39.90554769737665,-105.88282573279422,424538,4417647,13
84,84,2/10/20,Fraser,JPL #1,COFEJ1,39.90557472401111,-105.8828260797063,424538,4417650,13
85,85,2/12/20,Fraser,JPL #1,COFEJ1,39.905520670742035,-105.8828253858826,424538,4417644,13
86,86,2/21/20,Fraser,JPL #1,COFEJ1,39.905529768677106,-105.88281380388753,424539,4417645,13
87,87,2/26/20,Fraser,JPL #1,COFEJ1,39.90554778643356,-105.88281403515893,424539,4417647,13
88,88,3/4/20,Fraser,JPL #1,COFEJ1,39.90552075979887,-105.8828136882519,424539,4417644,13
89,89,3/11/20,Fraser,JPL #1,COFEJ1,39.9055117509206,-105.88281357261633,424539,4417643,13
90,90,3/18/20,Fraser,JPL #1,COFEJ1,39.9055117509206,-105.88281357261633,424539,4417643,13
91,91,10/24/19,Fraser,JPL #2,COFEJ2,39.90616252717649,-105.88254115274809,424563,4417715,13
92,92,10/29/19,Fraser,JPL #2,COFEJ2,39.906126402634335,-105.88255238807295,424562,4417711,13
93,93,11/24/19,Fraser,JPL #2,COFEJ2,39.90611739375638,-105.88255227246913,424562,4417710,13
94,94,12/3/19,Fraser,JPL #2,COFEJ2,39.90613541151227,-105.88255250367683,424562,4417712,13
95,95,12/10/19,Fraser,JPL #2,COFEJ2,39.90611739375638,-105.88255227246913,424562,4417710,13
96,96,12/16/19,Fraser,JPL #2,COFEJ2,39.90614397522018,-105.88261110796815,424557,4417713,13
97,97,12/30/19,Fraser,JPL #2,COFEJ2,39.906144420390184,-105.88255261928076,424562,4417713,13
98,98,1/4/20,Fraser,JPL #2,COFEJ2,39.90617144702385,-105.88255296609287,424562,4417716,13
99,99,1/8/20,Fraser,JPL #2,COFEJ2,39.90608524643347,-105.88085552372809,424707,4417705,13
100,100,1/19/20,Fraser,JPL #2,COFEJ2,39.906126491664736,-105.88254069033839,424563,4417711,13
101,101,2/5/20,Fraser,JPL #2,COFEJ2,39.906117660843975,-105.88251717926985,424565,4417710,13
102,102,2/10/20,Fraser,JPL #2,COFEJ2,39.90610847390877,-105.88254045913385,424563,4417709,13
103,103,2/21/20,Fraser,JPL #2,COFEJ2,39.90609946503076,-105.88254034353166,424563,4417708,13
104,104,3/4/20,Fraser,JPL #2,COFEJ2,39.90609054518186,-105.88252853020103,424564,4417707,13
105,105,3/11/20,Fraser,JPL #2,COFEJ2,39.90609054518186,-105.88252853020103,424564,4417707,13
106,106,3/18/20,Fraser,JPL #2,COFEJ2,39.90609054518186,-105.88252853020103,424564,4417707,13
107,107,12/19/19,Fraser,SNB #1,COFEB1,39.90691857872961,-105.87789464742352,424961,4417795,13
108,108,1/31/20,Fraser,SNB #1,COFEB1,39.90700919896487,-105.87782560999992,424967,4417805,13
109,109,2/5/20,Fraser,SNB #1,COFEB1,39.90699056126959,-105.87790726529745,424960,4417803,13
110,110,2/12/20,Fraser,SNB #1,COFEB1,39.90703835063067,-105.8775452052509,424991,4417808,13
111,111,2/21/20,Fraser,SNB #1,COFEB1,39.906964154524644,-105.87782503505885,424967,4417800,13
112,112,2/26/20,Fraser,SNB #1,COFEB1,39.90699100407494,-105.8778487758162,424965,4417803,13
113,113,3/4/20,Fraser,SNB #1,COFEB1,39.90699100407494,-105.8778487758162,424965,4417803,13
114,114,3/11/20,Fraser,SNB #1,COFEB1,39.90696459728828,-105.87776654559877,424972,4417800,13
115,115,12/19/19,Fraser,SNB #2,COFEB2,39.90700899166438,-105.87904230642042,424863,4417806,13
116,116,1/31/20,Fraser,SNB #2,COFEB2,39.90705385872979,-105.8790662779662,424861,4417811,13
117,117,2/5/20,Fraser,SNB #2,COFEB2,39.907027009434486,-105.87904253671594,424863,4417808,13
118,118,2/12/20,Fraser,SNB #2,COFEB2,39.90703610699756,-105.87903095396346,424864,4417809,13
119,119,2/21/20,Fraser,SNB #2,COFEB2,39.90704529323521,-105.87900767330596,424866,4417810,13
120,120,2/26/20,Fraser,SNB #2,COFEB2,39.9069998054199,-105.87906558706095,424861,4417805,13
121,121,12/19/19,Grand Mesa,County Line Open,COGMCO,39.03056773683757,-108.03280524944915,756848,4324359,12
122,122,12/20/19,Grand Mesa,County Line Open,COGMCO,39.03056087203149,-108.03218182696907,756902,4324360,12
123,123,1/22/20,Grand Mesa,County Line Open,COGMCO,39.03052487525495,-108.03218333374814,756902,4324356,12
124,124,1/31/20,Grand Mesa,County Line Open,COGMCO,39.03055969678782,-108.03213567544313,756906,4324360,12
125,125,2/12/20,Grand Mesa,County Line Open,COGMCO,39.0305341682569,-108.03219449493115,756901,4324357,12
126,126,2/19/20,Grand Mesa,County Line Open,COGMCO,39.03056987122558,-108.03218145027387,756902,4324361,12
127,127,2/26/20,Grand Mesa,County Line Open,COGMCO,39.03055187283737,-108.03218220366408,756902,4324359,12
128,128,3/4/20,Grand Mesa,County Line Open,COGMCO,39.03052487525495,-108.03218333374814,756902,4324356,12
129,129,3/12/20,Grand Mesa,County Line Open,COGMCO,39.03049699624331,-108.03214985021661,756905,4324353,12
130,130,3/18/20,Grand Mesa,County Line Open,COGMCO,39.03044494848296,-108.03187482502331,756929,4324348,12
131,131,3/25/20,Grand Mesa,County Line Open,COGMCO,39.030488584669705,-108.03217330265444,756903,4324352,12
132,132,12/19/19,Grand Mesa,County Line Tree,COGMCT,39.03216894329882,-108.03448235368542,756697,4324532,12
133,133,1/22/20,Grand Mesa,County Line Tree,COGMCT,39.03223712018998,-108.03432934596752,756710,4324540,12
134,134,1/31/20,Grand Mesa,County Line Tree,COGMCT,39.0322359457539,-108.03428319326153,756714,4324540,12
135,135,2/12/20,Grand Mesa,County Line Tree,COGMCT,39.03222724015586,-108.03429510788732,756713,4324539,12
136,136,2/19/20,Grand Mesa,County Line Tree,COGMCT,39.03221736011204,-108.03426086981722,756716,4324538,12
137,137,2/26/20,Grand Mesa,County Line Tree,COGMCT,39.032226652933446,-108.03427203153791,756715,4324539,12
138,138,3/4/20,Grand Mesa,County Line Tree,COGMCT,39.03223712018998,-108.03432934596752,756710,4324540,12
139,139,3/12/20,Grand Mesa,County Line Tree,COGMCT,39.03225688022906,-108.03439782215825,756704,4324542,12
140,140,3/18/20,Grand Mesa,County Line Tree,COGMCT,39.03225287205485,-108.03459434766752,756687,4324541,12
141,141,3/25/20,Grand Mesa,County Line Tree,COGMCT,39.0322078759988,-108.03459622972466,756687,4324536,12
142,142,12/19/19,Grand Mesa,Skyway Open,COGMSO,39.04418112132119,-108.06200596739527,754271,4325788,12
143,143,1/22/20,Grand Mesa,Skyway Open,COGMSO,39.044172412848624,-108.0620178808954,754270,4325787,12
144,144,1/31/20,Grand Mesa,Skyway Open,COGMSO,39.04408300057406,-108.06204469259366,754268,4325777,12
145,145,2/12/20,Grand Mesa,Skyway Open,COGMSO,39.04415441401782,-108.0620186270796,754270,4325785,12
146,146,2/19/20,Grand Mesa,Skyway Open,COGMSO,39.044173285669885,-108.06205250211532,754267,4325787,12
147,147,2/25/20,Grand Mesa,Skyway Open,COGMSO,39.04417066717533,-108.06194863846004,754276,4325787,12
148,148,3/4/20,Grand Mesa,Skyway Open,COGMSO,39.044173285669885,-108.06205250211532,754267,4325787,12
