,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
90,COER13_20200512_1200,COER13,East River,Forest 13,328563,4310812,13,38.92949,-106.97779,5/12,12:00:00
91,COER14_20200201_1040,COER14,East River,Forest 14,328579,4310743,13,38.92887,-106.97758,2/1,10:40:00
92,COER14_20200201_1300,COER14,East River,Forest 14,328571,4310748,13,38.92892,-106.97768,2/1,13:00:00
93,COER14_20200201_1350,COER14,East River,Forest 14,328579,4310739,13,38.92884,-106.97758,2/1,13:50:00
94,COER14_20200226_1007,COER14,East River,Forest 14,328559,4310736,13,38.92881,-106.97781,2/26,10:07:00
95,COER14_20200226_1024,COER14,East River,Forest 14,328576,4310735,13,38.9288,-106.97762,2/26,10:24:00
96,COER14_20200226_1040,COER14,East River,Forest 14,328559,4310733,13,38.92878,-106.97781,2/26,10:40:00
97,COER14_20200428_1015,COER14,East River,Forest 14,328589,4310756,13,38.92899,-106.97747,4/28,10:15:00
98,COER14_20200428_1045,COER14,East River,Forest 14,328585,4310766,13,38.92908,-106.97752,4/28,10:45:00
99,COER14_20200428_1115,COER14,East River,Forest 14,328576,4310759,13,38.92902,-106.97762,4/28,11:15:00
100,COER14_20200512_1230,COER14,East River,Forest 14,328597,4310766,13,38.92908,-106.97738,5/12,12:30:00
101,COER14_20200512_1300,COER14,East River,Forest 14,328596,4310762,13,38.92905,-106.97739,5/12,13:00:00
102,COER14_20200512_1330,COER14,East River,Forest 14,328593,4310759,13,38.92902,-106.97743,5/12,13:30:00
103,COERO2_20200201_0950,COERO2,East River,Open 2,328495,4310497,13,38.92664,-106.97849,2/1,9:50:00
104,COERO2_20200201_1120,COERO2,East River,Open 2,328507,4310502,13,38.92669,-106.97835,2/1,11:20:00
105,COERO2_20200201_1220,COERO2,East River,Open 2,328494,4310500,13,38.92667,-106.9785,2/1,12:20:00
106,COERO2_20200226_1000,COERO2,East River,Open 2,328496,4310494,13,38.92662,-106.97848,2/26,10:00:00
107,COERO2_20200226_1018,COERO2,East River,Open 2,328484,4310498,13,38.92665,-106.97862,2/26,10:18:00
108,COERO2_20200226_1120,COERO2,East River,Open 2,328484,4310498,13,38.92665,-106.97862,2/26,11:20:00
109,COERO2_20200427_1145,COERO2,East River,Open 2,328498,4310490,13,38.92658,-106.97845,4/27,11:45:00
110,COERO2_20200427_1215,COERO2,East River,Open 2,328507,4310484,13,38.92653,-106.97835,4/27,12:15:00
111,COERO2_20200427_1245,COERO2,East River,Open 2,328501,4310480,13,38.92649,-106.97842,4/27,12:45:00
112,COERO4_20200201_1000,COERO4,East River,Open 4,328432,4310463,13,38.92632,-106.97921,2/1,10:00:00
113,COERO4_20200201_1115,COERO4,East River,Open 4,328437,4310466,13,38.92635,-106.97915,2/1,11:15:00
114,COERO4_20200201_1215,COERO4,East River,Open 4,328422,4310469,13,38.92638,-106.97933,2/1,12:15:00
115,COERO4_20200226_1230,COERO4,East River,Open 4,328426,4310481,13,38.92648,-106.97928,2/26,12:30:00
116,COERO4_20200226_1330,COERO4,East River,Open 4,328427,4310480,13,38.92648,-106.97927,2/26,13:30:00
117,COERO4_20200226_1425,COERO4,East River,Open 4,328429,4310464,13,38.92633,-106.97924,2/26,14:25:00
118,COERO4_20200428_0830,COERO4,East River,Open 4,328460,4310445,13,38.92617,-106.97888,4/28,8:30:00
119,COERO4_20200428_0900,COERO4,East River,Open 4,328450,4310448,13,38.92619,-106.979,4/28,9:00:00
120,COERO4_20200428_0915,COERO4,East River,Open 4,328453,4310439,13,38.92611,-106.97896,4/28,9:15:00
121,COERO4_20200513_0845,COERO4,East River,Open 4,328462,4310440,13,38.92612,-106.97886,5/13,8:45:00
122,COERO4_20200513_0900,COERO4,East River,Open 4,328465,4310444,13,38.92616,-106.97882,5/13,9:00:00
123,COERO4_20200513_0915,COERO4,East River,Open 4,328465,4310444,13,38.92616,-106.97882,5/13,9:15:00
124,COERO6_20200201_1400,COERO6,East River,Open 6,328385,4310503,13,38.92667,-106.97976,2/1,14:00:00
125,COERO6_20200201_1430,COERO6,East River,Open 6,328376,4310492,13,38.92657,-106.97986,2/1,14:30:00
126,COERO6_20200201_1500,COERO6,East River,Open 6,328364,4310498,13,38.92663,-106.98,2/1,15:00:00
127,COERO6_20200226_1428,COERO6,East River,Open 6,328382,4310493,13,38.92658,-106.97979,2/26,14:28:00
128,COERO6_20200226_1458,COERO6,East River,Open 6,328380,4310499,13,38.92664,-106.97982,2/26,14:58:00
129,COERO6_20200226_1459,COERO6,East River,Open 6,328389,4310504,13,38.92668,-106.97971,2/26,14:59:00
130,COERO6_20200427_1345,COERO6,East River,Open 6,328369,4310519,13,38.92682,-106.97995,4/27,13:45:00
131,COERO6_20200427_1430,COERO6,East River,Open 6,328364,4310519,13,38.92681,-106.98001,4/27,14:30:00
132,COERO6_20200427_1445,COERO6,East River,Open 6,328364,4310516,13,38.92679,-106.98001,4/27,14:45:00
133,COERAP_20200201_1524,COERAP,East River,Aspen,329134,4310333,13,38.92529,-106.97108,2/1,15:24:00
134,COERAP_20200201_1550,COERAP,East River,Aspen,329146,4310338,13,38.92534,-106.97095,2/1,15:50:00
135,COERAP_20200201_1610,COERAP,East River,Aspen,329146,4310332,13,38.92528,-106.97094,2/1,16:10:00
136,COERAP_20200226_1550,COERAP,East River,Aspen,329128,4310336,13,38.92532,-106.97115,2/26,15:50:00
137,COERAP_20200226_1600,COERAP,East River,Aspen,329127,4310338,13,38.92533,-106.97116,2/26,16:00:00
138,COERAP_20200427_0845,COERAP,East River,Aspen,329131,4310327,13,38.92524,-106.97112,4/27,8:45:00
139,COERAP_20200427_0930,COERAP,East River,Aspen,329135,4310333,13,38.92529,-106.97107,4/27,9:30:00
140,COERAP_20200427_1015,COERAP,East River,Aspen,329129,4310333,13,38.92529,-106.97114,4/27,10:15:00
141,COERAP_20200512_1430,COERAP,East River,Aspen,329127,4310324,13,38.92521,-106.97116,5/12,14:30:00
142,COERGT_20191218_1316,COERGT,East River,Gothic,327538,4314145,13,38.95931,-106.99044,12/18,13:16:00
143,COERGT_20200117_1015,COERGT,East River,Gothic,327534,4314145,13,38.95931,-106.99049,1/17,10:15:00
144,COERGT_20200124_1205,COERGT,East River,Gothic,327546,4314138,13,38.95925,-106.99035,1/24,12:05:00
145,COERGT_20200129_0940,COERGT,East River,Gothic,327532,4314143,13,38.95929,-106.99051,1/29,9:40:00
146,COERGT_20200205_0945,COERGT,East River,Gothic,327527,4314130,13,38.95917,-106.99057,2/5,9:45:00
147,COERGT_20200212_1400,COERGT,East River,Gothic,327522,4314138,13,38.95924,-106.99063,2/12,14:00:00
148,COERGT_20200219_1500,COERGT,East River,Gothic,327522,4314138,13,38.95924,-106.99063,2/19,15:00:00
149,COERGT_20200226_1020,COERGT,East River,Gothic,327522,4314138,13,38.95924,-106.99063,2/26,10:20:00
