,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
428,CASHOP_20191220_1123,CASHOP,Sagehen Creek,Open,737573,4368177,10,39.43041,-120.23981,12/20,11:23:00
429,CASHOP_20200129_1057,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,1/29,10:57:00
430,CASHOP_20200212_0938,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,2/12,9:38:00
431,CASHOP_20200219_1021,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,2/19,10:21:00
432,CASHOP_20200226_1016,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,2/26,10:16:00
433,CASHOP_20200304_0957,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,3/4,9:57:00
434,CASHOP_20200311_0850,CASHOP,Sagehen Creek,Open,737572,4368172,10,39.43036,-120.23982,3/11,8:50:00
435,CASHT4_20200129_1415,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,1/29,14:15:00
436,CASHT4_20200212_1050,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,2/12,10:50:00
437,CASHT4_20200219_1230,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,2/19,12:30:00
438,CASHT4_20200226_1201,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,2/26,12:01:00
439,CASHT4_20200304_1058,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,3/4,10:58:00
440,CASHT4_20200311_1045,CASHT4,Sagehen Creek,Tower 4,732507,4367108,10,39.42216,-120.29898,3/11,10:45:00
441,COSBSB_20191218_1415,COSBSB,Senator Beck,Senator Beck,260320,4199004,13,37.90702,-107.72623,12/18,14:15:00
442,COSBSB_20200201_0950,COSBSB,Senator Beck,Senator Beck,260320,4199007,13,37.90705,-107.72623,2/1,9:50:00
443,COSBSB_20200219_1240,COSBSB,Senator Beck,Senator Beck,260318,4199010,13,37.90708,-107.72626,2/19,12:40:00
444,COSBSB_20200226_1250,COSBSB,Senator Beck,Senator Beck,260317,4199008,13,37.90706,-107.72627,2/26,12:50:00
445,COSBSB_20200304_1215,COSBSB,Senator Beck,Senator Beck,260314,4199008,13,37.90706,-107.7263,3/4,12:15:00
446,COSBSA_20191218_0915,COSBSA,Senator Beck,Swamp Angel,261642,4198978,13,37.90714,-107.7112,12/18,9:15:00
447,COSBSA_20200122_1235,COSBSA,Senator Beck,Swamp Angel,261641,4198982,13,37.90717,-107.71121,1/22,12:35:00
448,COSBSA_20200129_1205,COSBSA,Senator Beck,Swamp Angel,261641,4198982,13,37.90717,-107.71121,1/29,12:05:00
449,COSBSA_20200212_1236,COSBSA,Senator Beck,Swamp Angel,261641,4198982,13,37.90717,-107.71121,2/12,12:36:00
450,COSBSA_20200219_1446,COSBSA,Senator Beck,Swamp Angel,261641,4198976,13,37.90712,-107.71121,2/19,14:46:00
451,COSBSA_20200226_1444,COSBSA,Senator Beck,Swamp Angel,261639,4198975,13,37.90711,-107.71123,2/26,14:44:00
452,COSBSA_20200304_1410,COSBSA,Senator Beck,Swamp Angel,261639,4198975,13,37.90711,-107.71123,3/4,14:10:00
453,COSBSA_20200311_1125,COSBSA,Senator Beck,Swamp Angel,261644,4198974,13,37.9071,-107.71118,3/11,11:25:00
